threshold,top_k,round_trip_cost,exit_threshold,trend_filter,CAGR,Sharpe,MaxDrawdown,TotalReturn,Days,Score
0.52,5,0.001,0.5,False,0.19330144267984228,0.8878744878724987,-0.39240824281470066,2.0020401716978906,2272,0.6319383264246907
0.54,3,0.0005,0.5,False,0.15586374862376462,0.7950631318794362,-0.2664313173757282,1.4620920944328093,2272,0.628677202565983
0.52,3,0.001,0.48,False,0.20487691192376434,0.8425407748335559,-0.3483206239499388,2.187833410531329,2272,0.6253473492507342
0.52,1,0.0005,0.48,False,0.33462767286120165,0.9836232819382058,-0.584773712226136,5.022679423841508,2272,0.6161926140156574
0.58,5,0.001,0.48,True,0.06399702931225759,0.6761313367891163,-0.10888051421931055,0.4708896053821525,2272,0.6082260342073451
0.51,3,0.0005,0.52,False,0.1993555198218242,0.8325605088122439,-0.3565609928259418,2.098043541368323,2272,0.6071183704980376
0.5,3,0.0005,0.5,True,0.19640761865937084,0.8994646981755792,-0.4409730959774413,2.050979953405264,2272,0.6056085069914373
0.56,3,0.001,0.5,False,0.10592501350555539,0.7541384104686749,-0.22629879632625183,0.8706437787418777,2272,0.60487687745934
0.52,3,0.0005,0.5,True,0.1759501970995656,0.8393613599257482,-0.3612618420534488,1.740609024317247,2272,0.6031369454128588
0.54,5,0.0005,0.48,True,0.13451820113028234,0.8033321555589507,-0.30976768084224204,1.1925478921996655,2272,0.5958734712242417
0.58,5,0.0005,0.48,False,0.06289054331371435,0.6797695862588921,-0.13180014252159467,0.4614005069733116,2272,0.5931966352357306
0.54,1,0.0005,0.5,True,0.21484924126026894,0.884894745455409,-0.4463460185571161,2.35554293569383,2272,0.5922727029877969
0.54,1,0.001,0.48,True,0.2122997998369569,0.8851581744271375,-0.44731442857743764,2.3119791973685055,2272,0.5909965715162744
0.56,3,0.0005,0.48,True,0.09444303136083665,0.7038697174931663,-0.17929831504112737,0.7530609525385297,2272,0.5887639748685154
0.51,3,0.001,0.48,True,0.18966611613419748,0.8840195647408051,-0.4434840048657134,1.9456016656957291,2272,0.5861321956884937
