Date,DateTime,title,source,link,id
2026-01-22,2026-01-22 01:52:28+00:00,Trump ratcheted up the Greenland rhetoric - but has he been talked down?,BBC News,https://www.bbc.com/news/articles/cj3vv1kv1rdo?at_medium=RSS&at_campaign=rss,112cc3d8d02a0dd9f98bf3196fd70ea2
2026-01-22,2026-01-22 02:56:41+00:00,Footage captures moment NZ landslide starts in Mount Maunganui,BBC News,https://www.bbc.com/news/videos/cwy113pz41do?at_medium=RSS&at_campaign=rss,fb179e133a6979059bbc01ca48019141
2026-01-22,2026-01-22 03:15:27+00:00,Bezos' Blue Origin announces satellite rival to Musk's Starlink,BBC News,https://www.bbc.com/news/articles/cn0yydwe89jo?at_medium=RSS&at_campaign=rss,615d2336ecf120c4de731a37d7c9ccda
2026-01-22,2026-01-22 04:14:19+00:00,Slashed incomes and gamers go cold turkey: Fallout from Uganda's internet shutdown,BBC News,https://www.bbc.com/news/articles/cx2p54rm4k4o?at_medium=RSS&at_campaign=rss,d5fbfb288b016a46b1d7e5b9555a4f19
2026-01-22,2026-01-22 07:39:58+00:00,Trump says 'framework of a future deal' discussed on Greenland as he backs off tariffs threat,BBC News,https://www.bbc.com/news/articles/cgezx40r7d7o?at_medium=RSS&at_campaign=rss,3d3f2aa081053a430165cc49e8a534be
2026-01-22,2026-01-22 08:23:36+00:00,"South African police not yet able to defeat gangs, minister says",BBC News,https://www.bbc.com/news/articles/cx2ll9wr562o?at_medium=RSS&at_campaign=rss,9ac4dc3624a90b98c4740790641195a3
2026-01-22,2026-01-22 09:14:40+00:00,Two dead and several missing in New Zealand landslides,BBC News,https://www.bbc.com/news/articles/cje11x527n4o?at_medium=RSS&at_campaign=rss,64ae20aefc0bd75a04842054b8c0d706
2026-01-22,2026-01-22 11:24:00+00:00,"Trump credit card plan would be a 'disaster', JP Morgan boss warns",BBC News,https://www.bbc.com/news/articles/c3944lv2220o?at_medium=RSS&at_campaign=rss,edc8eaf6b2a577570db86a77dd79ddff
2026-01-22,2026-01-22 11:35:20+00:00,"Son-in-law of Venezuelan opposition candidate freed from jail, wife says",BBC News,https://www.bbc.com/news/articles/cq5yywx39e7o?at_medium=RSS&at_campaign=rss,976a941e20315d584dcd002416b9429e
2026-01-22,2026-01-22 11:38:06+00:00,Three dead in shooting in Australia's New South Wales,BBC News,https://www.bbc.com/news/articles/c4g00mv29j5o?at_medium=RSS&at_campaign=rss,8ac12305bccce21bac88de6233d7544e
2026-01-22,2026-01-22 12:08:12+00:00,Rapid rollback of Kurdish-led forces reshapes Sharaa's Syria,BBC News,https://www.bbc.com/news/articles/c9311l0d40qo?at_medium=RSS&at_campaign=rss,45c12ab9f0745e479699a8a71f2a5b51
2026-01-22,2026-01-22 13:13:24+00:00,Japan suspends world's largest nuclear plant hours after restart,BBC News,https://www.bbc.com/news/articles/cx2yy8z91n4o?at_medium=RSS&at_campaign=rss,f31cb9ce8411ed659b18ebe82f37234e
2026-01-22,2026-01-22 13:14:04+00:00,Ugandan MP and Bobi Wine ally arrested over election violence,BBC News,https://www.bbc.com/news/articles/cq844z9y4q9o?at_medium=RSS&at_campaign=rss,559bf950cb5f1d908ba6284d4cec96c6
2026-01-22,2026-01-22 14:03:15+00:00,Ex-intelligence officer accused of betraying Austria in Russia spying trial,BBC News,https://www.bbc.com/news/articles/cz0pnjv1zy5o?at_medium=RSS&at_campaign=rss,5ed7b132e7278796a3f0890ef5d7e871
2026-01-22,2026-01-22 14:25:59+00:00,"Two charged after funeral firm collapse hit 46,000",BBC News,https://www.bbc.com/news/articles/cnvggm1l39mo?at_medium=RSS&at_campaign=rss,b15f32ce0e2bd743a0968558f5594c58
2026-01-22,2026-01-22 14:57:03+00:00,"Sharp fall in government borrowing in December, figures show",BBC News,https://www.bbc.com/news/articles/clymd1pj887o?at_medium=RSS&at_campaign=rss,ac0b026872e244c4871c4872a6b2e299
2026-01-22,2026-01-22 15:10:44+00:00,Vampire film Sinners breaks Oscar nominations record,BBC News,https://www.bbc.com/news/articles/cz0ppdjmjy9o?at_medium=RSS&at_campaign=rss,437e0fa836f00958ebf05523890d340c
2026-01-22,2026-01-22 15:40:34+00:00,UK holds off joining Trump's Board of Peace over Putin concerns,BBC News,https://www.bbc.com/news/articles/cp9jj1j74ggo?at_medium=RSS&at_campaign=rss,ce11d109f61ff006b84199e7af2cfbc7
2026-01-22,2026-01-22 16:04:08+00:00,"ICE detains 5-year-old and father in Minnesota, lawyer says",BBC News,https://www.bbc.com/news/articles/cwyrrqwxpz7o?at_medium=RSS&at_campaign=rss,fd988d1f8b1ff2da32f84a7a729023a2
2026-01-22,2026-01-22 17:37:26+00:00,'It's all about the land': Zelensky says Ukraine to talk to US and Russia,BBC News,https://www.bbc.com/news/articles/c4g44r22j5jo?at_medium=RSS&at_campaign=rss,02f7fc5c17fcb54d68f48d3821b0e22a
2026-01-22,2026-01-22 18:12:14+00:00,German nurse jailed for murders could be linked to 100 more deaths,BBC News,https://www.bbc.com/news/articles/ckgjjy55x2mo?at_medium=RSS&at_campaign=rss,99925110a2484a917225f5507e9b6b76
2026-01-22,2026-01-22 18:15:32+00:00,What we know about Trump's  'framework of future deal' over Greenland,BBC News,https://www.bbc.com/news/articles/c86vvjxe9z7o?at_medium=RSS&at_campaign=rss,f95b58e55828ed0df908b4afb857e567
2026-01-22,2026-01-22 18:32:32+00:00,France seizes suspected Russian 'shadow fleet' oil tanker in the Mediterranean,BBC News,https://www.bbc.com/news/articles/cdexxr2y907o?at_medium=RSS&at_campaign=rss,2df2611d3490287bf753e4c048922ffb
