Date,Close,High,Low,Open,Volume
2021-01-04,2561.1181640625,2628.5147779547456,2555.5647926908205,2618.4599999518755,1599835
2021-01-05,2580.765380859375,2586.781568525229,2550.3064664552194,2567.9760262689965,1150326
2021-01-06,2594.522216796875,2628.2206292834376,2562.927323124433,2592.6290498641665,1370394
2021-01-07,2570.710205078125,2620.7739501733377,2552.830296115549,2603.3147449510575,880259
2021-01-08,2659.773193359375,2663.8538962710427,2577.3152626084698,2583.120891890602,1576465
2021-01-11,2690.568603515625,2713.4548454262786,2647.951397680761,2659.6889907059817,1596027
2021-01-12,2733.1015625,2772.4373580966676,2676.0541002080813,2684.0895818902486,1586336
2021-01-13,2740.295654296875,2791.7897459589694,2706.555135475696,2742.988116885546,1424073
2021-01-14,2748.54150390625,2772.437391974914,2724.5192814741395,2747.1951698932003,803208
2021-01-15,2695.0283203125,2752.117903428192,2670.627501926904,2734.5744742477755,1199320
2021-01-18,2661.498291015625,2707.2709863886403,2593.4285003074187,2692.504242350147,1280163
2021-01-19,2720.18603515625,2726.791165739991,2667.6822929811437,2667.6822929811437,770832
2021-01-20,2756.1142578125,2770.333961200156,2717.9984601776996,2725.31866372887,841752
2021-01-21,2732.30224609375,2815.3491140213314,2709.0793200676217,2756.1141162058307,1300181
2021-01-22,2839.66650390625,2931.422046253303,2742.0632196653255,2747.195888332915,3813020
2021-01-25,2923.8486328125,2961.880206588839,2824.646781528211,2875.8884105324328,2266967
2021-01-27,2825.9091796875,2931.4637087116084,2801.844843193555,2902.85585391936,1333633
2021-01-28,2858.597412109375,2914.7194498994995,2797.8057275972214,2809.417190775238,1986409
2021-01-29,2739.6650390625,2932.305252669291,2714.717182454596,2877.5295400992177,1718833
2021-02-01,2810.847412109375,2827.8018936488784,2707.0178261614046,2776.6442851294228,1285163
2021-02-02,2771.47021484375,2860.7855400504463,2743.82989591309,2860.7855400504463,1751516
2021-02-03,2844.63037109375,2879.296317230292,2749.719568880361,2773.7417928568557,1077971
2021-02-04,2895.030517578125,2957.5471310194407,2864.235128741462,2895.282980892716,2425660
2021-02-05,2885.3544921875,2995.41063176478,2832.1775804832164,2944.926182914812,2719249
2021-02-08,2940.719482421875,2950.7321504222136,2873.7433571055894,2926.4155536089506,1004959
2021-02-09,2944.46337890625,2976.8996784999763,2908.198839597584,2912.1113022296263,1543021
2021-02-10,2977.698974609375,3002.772958718541,2932.5154338000125,2936.51211934927,1477082
2021-02-11,2979.8447265625,2990.3623205430254,2922.6711267687147,2965.1200949897643,757116
2021-02-12,2958.1787109375,3012.239148163621,2947.3665413235663,2975.175103035521,566161
2021-02-15,2975.0478515625,3010.0317504969858,2963.5440275299666,2995.265582313551,809861
2021-02-16,2971.74267578125,2992.1320642211767,2946.3739421401783,2978.9969636440615,759332
2021-02-17,3076.8662109375,3086.309717723301,2968.05125774656,2973.3739196523093,1946207
2021-02-18,3024.368896484375,3115.541617499687,3009.9030776610903,3073.131562468247,1701157
